Area,Price,Type,Size
Uttarahalli,1.0 Cr,3 BHK 163 Sq-m Flat,163 sqm
Sarjapur Road,2.11 Cr,3 BHK Villa,3275 sqft
Sarjapur-Attibele Road,1.25 Cr,3 BHK Villa,2292 sqft
Chikkabalapur,21.0 Lac,Residential Plot,2400 sqft
Thanisandra,1.02 Cr,3 BHK 1661 Sq-ft Flat,1102 sqft
Gottigere,62.8 Lac,3 BHK 1495 Sq-ft Flat,1495 sqft
Devanahalli,1.42 Cr,Residential Plot,4750 sqft
JP Nagar 9th Phase,3.43 Cr,4 BHK Villa,3611 sqft
Jigani,23.2 Lac,Residential Plot,1452 sqft
Sarjapur Road,71.5 Lac,2 BHK 1291 Sq-ft Flat,1291 sqft
Sarjapur,27.1 Lac,Residential Plot,1750 sqft
Kadugodi,54.6 Lac,2 BHK 1136 Sq-ft Flat,1136 sqft
Whitefield,65.9 Lac,2 BHK 1050 Sq-ft Flat,1050 sqft
Yelahanka,93.0 Lac,3 BHK 1829 Sq-ft Flat,1280 sqft
Doddaballapur,90.0 Lac,3 BHK Villa,1800 sqft
Sarjapur Road,67.9 Lac,2 BHK 1180 Sq-ft Flat,1180 sqft
Chikbanavara,34.0 Lac,2 BHK 974 Sq-ft Flat,974 sqft
Thanisandra Main Road,74.0 Lac,2 BHK 1125 Sq-ft Flat,1125 sqft
Old Madras Road,1.02 Cr,3 BHK 1779 Sq-ft Flat,1779 sqft
Whitefield,1.44 Cr,4 BHK 2262 Sq-ft Flat,2262 sqft
Thanisandra Main Road,80.0 Lac,3 BHK 1601 Sq-ft Flat,1601 sqft
Devanahalli,45.0 Lac,2 BHK 885 Sq-ft Flat,593 sqft
Hoodi Circle,1.02 Cr,3 BHK 1640 Sq-ft Flat,1640 sqft
Banashankari,2.35 Cr,3 BHK 2440 Sq-ft Flat,2440 sqft
Sarjapur Road,23.9 Lac,2 BHK 685 Sq-ft Flat,685 sqft
Electronic City,39.3 Lac,3 BHK 841 Sq-ft Flat,841 sqft
Sarjapur Road,1.22 Cr,3 BHK 1929 Sq-ft Flat,1929 sqft
RT Nagar,2.51 Cr,3 BHK 2150 Sq-ft Flat,2150 sqft
Whitefield,56.5 Lac,2 BHK 1085 Sq-ft Flat,1085 sqft
Whitefield,91.2 Lac,3 BHK 1565 Sq-ft Flat,1400 sqft
Uttarahalli,1.0 Cr,3 BHK 163 Sq-m Flat,163 sqm
Sarjapur Road,2.11 Cr,3 BHK Villa,3275 sqft
Sarjapur-Attibele Road,1.25 Cr,3 BHK Villa,2292 sqft
Chikkabalapur,21.0 Lac,Residential Plot,2400 sqft
Thanisandra,1.02 Cr,3 BHK 1661 Sq-ft Flat,1102 sqft
Gottigere,62.8 Lac,3 BHK 1495 Sq-ft Flat,1495 sqft
Devanahalli,1.42 Cr,Residential Plot,4750 sqft
JP Nagar 9th Phase,3.43 Cr,4 BHK Villa,3611 sqft
Jigani,23.2 Lac,Residential Plot,1452 sqft
Sarjapur Road,71.5 Lac,2 BHK 1291 Sq-ft Flat,1291 sqft
Sarjapur,27.1 Lac,Residential Plot,1750 sqft
Kadugodi,54.6 Lac,2 BHK 1136 Sq-ft Flat,1136 sqft
Whitefield,65.9 Lac,2 BHK 1050 Sq-ft Flat,1050 sqft
Yelahanka,93.0 Lac,3 BHK 1829 Sq-ft Flat,1280 sqft
Doddaballapur,90.0 Lac,3 BHK Villa,1800 sqft
Sarjapur Road,67.9 Lac,2 BHK 1180 Sq-ft Flat,1180 sqft
Chikbanavara,34.0 Lac,2 BHK 974 Sq-ft Flat,974 sqft
Thanisandra Main Road,74.0 Lac,2 BHK 1125 Sq-ft Flat,1125 sqft
Old Madras Road,1.02 Cr,3 BHK 1779 Sq-ft Flat,1779 sqft
Whitefield,1.44 Cr,4 BHK 2262 Sq-ft Flat,2262 sqft
Thanisandra Main Road,80.0 Lac,3 BHK 1601 Sq-ft Flat,1601 sqft
Devanahalli,45.0 Lac,2 BHK 885 Sq-ft Flat,593 sqft
Hoodi Circle,1.02 Cr,3 BHK 1640 Sq-ft Flat,1640 sqft
Banashankari,2.35 Cr,3 BHK 2440 Sq-ft Flat,2440 sqft
Sarjapur Road,23.9 Lac,2 BHK 685 Sq-ft Flat,685 sqft
Electronic City,39.3 Lac,3 BHK 841 Sq-ft Flat,841 sqft
Sarjapur Road,1.22 Cr,3 BHK 1929 Sq-ft Flat,1929 sqft
RT Nagar,2.51 Cr,3 BHK 2150 Sq-ft Flat,2150 sqft
Whitefield,56.5 Lac,2 BHK 1085 Sq-ft Flat,1085 sqft
Whitefield,91.2 Lac,3 BHK 1565 Sq-ft Flat,1400 sqft
Uttarahalli,1.0 Cr,3 BHK 163 Sq-m Flat,163 sqm
Sarjapur Road,2.11 Cr,3 BHK Villa,3275 sqft
Sarjapur-Attibele Road,1.25 Cr,3 BHK Villa,2292 sqft
Chikkabalapur,21.0 Lac,Residential Plot,2400 sqft
Thanisandra,1.02 Cr,3 BHK 1661 Sq-ft Flat,1102 sqft
Gottigere,62.8 Lac,3 BHK 1495 Sq-ft Flat,1495 sqft
Devanahalli,1.42 Cr,Residential Plot,4750 sqft
JP Nagar 9th Phase,3.43 Cr,4 BHK Villa,3611 sqft
Jigani,23.2 Lac,Residential Plot,1452 sqft
Sarjapur Road,71.5 Lac,2 BHK 1291 Sq-ft Flat,1291 sqft
Sarjapur,27.1 Lac,Residential Plot,1750 sqft
Kadugodi,54.6 Lac,2 BHK 1136 Sq-ft Flat,1136 sqft
Whitefield,65.9 Lac,2 BHK 1050 Sq-ft Flat,1050 sqft
Yelahanka,93.0 Lac,3 BHK 1829 Sq-ft Flat,1280 sqft
Doddaballapur,90.0 Lac,3 BHK Villa,1800 sqft
Sarjapur Road,67.9 Lac,2 BHK 1180 Sq-ft Flat,1180 sqft
Chikbanavara,34.0 Lac,2 BHK 974 Sq-ft Flat,974 sqft
Thanisandra Main Road,74.0 Lac,2 BHK 1125 Sq-ft Flat,1125 sqft
Old Madras Road,1.02 Cr,3 BHK 1779 Sq-ft Flat,1779 sqft
Whitefield,1.44 Cr,4 BHK 2262 Sq-ft Flat,2262 sqft
Thanisandra Main Road,80.0 Lac,3 BHK 1601 Sq-ft Flat,1601 sqft
Devanahalli,45.0 Lac,2 BHK 885 Sq-ft Flat,593 sqft
Hoodi Circle,1.02 Cr,3 BHK 1640 Sq-ft Flat,1640 sqft
Banashankari,2.35 Cr,3 BHK 2440 Sq-ft Flat,2440 sqft
Sarjapur Road,23.9 Lac,2 BHK 685 Sq-ft Flat,685 sqft
Electronic City,39.3 Lac,3 BHK 841 Sq-ft Flat,841 sqft
Sarjapur Road,1.22 Cr,3 BHK 1929 Sq-ft Flat,1929 sqft
RT Nagar,2.51 Cr,3 BHK 2150 Sq-ft Flat,2150 sqft
Whitefield,56.5 Lac,2 BHK 1085 Sq-ft Flat,1085 sqft
Whitefield,91.2 Lac,3 BHK 1565 Sq-ft Flat,1400 sqft
Uttarahalli,1.0 Cr,3 BHK 163 Sq-m Flat,163 sqm
Sarjapur Road,2.11 Cr,3 BHK Villa,3275 sqft
Sarjapur-Attibele Road,1.25 Cr,3 BHK Villa,2292 sqft
Chikkabalapur,21.0 Lac,Residential Plot,2400 sqft
Thanisandra,1.02 Cr,3 BHK 1661 Sq-ft Flat,1102 sqft
Gottigere,62.8 Lac,3 BHK 1495 Sq-ft Flat,1495 sqft
Devanahalli,1.42 Cr,Residential Plot,4750 sqft
JP Nagar 9th Phase,3.43 Cr,4 BHK Villa,3611 sqft
Jigani,23.2 Lac,Residential Plot,1452 sqft
Sarjapur Road,71.5 Lac,2 BHK 1291 Sq-ft Flat,1291 sqft
Sarjapur,27.1 Lac,Residential Plot,1750 sqft
Kadugodi,54.6 Lac,2 BHK 1136 Sq-ft Flat,1136 sqft
Whitefield,65.9 Lac,2 BHK 1050 Sq-ft Flat,1050 sqft
Yelahanka,93.0 Lac,3 BHK 1829 Sq-ft Flat,1280 sqft
Doddaballapur,90.0 Lac,3 BHK Villa,1800 sqft
Sarjapur Road,67.9 Lac,2 BHK 1180 Sq-ft Flat,1180 sqft
Chikbanavara,34.0 Lac,2 BHK 974 Sq-ft Flat,974 sqft
Thanisandra Main Road,74.0 Lac,2 BHK 1125 Sq-ft Flat,1125 sqft
Old Madras Road,1.02 Cr,3 BHK 1779 Sq-ft Flat,1779 sqft
Whitefield,1.44 Cr,4 BHK 2262 Sq-ft Flat,2262 sqft
Thanisandra Main Road,80.0 Lac,3 BHK 1601 Sq-ft Flat,1601 sqft
Devanahalli,45.0 Lac,2 BHK 885 Sq-ft Flat,593 sqft
Hoodi Circle,1.02 Cr,3 BHK 1640 Sq-ft Flat,1640 sqft
Banashankari,2.35 Cr,3 BHK 2440 Sq-ft Flat,2440 sqft
Sarjapur Road,23.9 Lac,2 BHK 685 Sq-ft Flat,685 sqft
Electronic City,39.3 Lac,3 BHK 841 Sq-ft Flat,841 sqft
Sarjapur Road,1.22 Cr,3 BHK 1929 Sq-ft Flat,1929 sqft
RT Nagar,2.51 Cr,3 BHK 2150 Sq-ft Flat,2150 sqft
Whitefield,56.5 Lac,2 BHK 1085 Sq-ft Flat,1085 sqft
Whitefield,91.2 Lac,3 BHK 1565 Sq-ft Flat,1400 sqft
Uttarahalli,1.0 Cr,3 BHK 163 Sq-m Flat,163 sqm
Sarjapur Road,2.11 Cr,3 BHK Villa,3275 sqft
Sarjapur-Attibele Road,1.25 Cr,3 BHK Villa,2292 sqft
Chikkabalapur,21.0 Lac,Residential Plot,2400 sqft
Thanisandra,1.02 Cr,3 BHK 1661 Sq-ft Flat,1102 sqft
Gottigere,62.8 Lac,3 BHK 1495 Sq-ft Flat,1495 sqft
Devanahalli,1.42 Cr,Residential Plot,4750 sqft
JP Nagar 9th Phase,3.43 Cr,4 BHK Villa,3611 sqft
Jigani,23.2 Lac,Residential Plot,1452 sqft
Sarjapur Road,71.5 Lac,2 BHK 1291 Sq-ft Flat,1291 sqft
Sarjapur,27.1 Lac,Residential Plot,1750 sqft
Kadugodi,54.6 Lac,2 BHK 1136 Sq-ft Flat,1136 sqft
Whitefield,65.9 Lac,2 BHK 1050 Sq-ft Flat,1050 sqft
Yelahanka,93.0 Lac,3 BHK 1829 Sq-ft Flat,1280 sqft
Doddaballapur,90.0 Lac,3 BHK Villa,1800 sqft
Sarjapur Road,67.9 Lac,2 BHK 1180 Sq-ft Flat,1180 sqft
Chikbanavara,34.0 Lac,2 BHK 974 Sq-ft Flat,974 sqft
Thanisandra Main Road,74.0 Lac,2 BHK 1125 Sq-ft Flat,1125 sqft
Old Madras Road,1.02 Cr,3 BHK 1779 Sq-ft Flat,1779 sqft
Whitefield,1.44 Cr,4 BHK 2262 Sq-ft Flat,2262 sqft
Thanisandra Main Road,80.0 Lac,3 BHK 1601 Sq-ft Flat,1601 sqft
Devanahalli,45.0 Lac,2 BHK 885 Sq-ft Flat,593 sqft
Hoodi Circle,1.02 Cr,3 BHK 1640 Sq-ft Flat,1640 sqft
Banashankari,2.35 Cr,3 BHK 2440 Sq-ft Flat,2440 sqft
Sarjapur Road,23.9 Lac,2 BHK 685 Sq-ft Flat,685 sqft
Electronic City,39.3 Lac,3 BHK 841 Sq-ft Flat,841 sqft
Sarjapur Road,1.22 Cr,3 BHK 1929 Sq-ft Flat,1929 sqft
RT Nagar,2.51 Cr,3 BHK 2150 Sq-ft Flat,2150 sqft
Whitefield,56.5 Lac,2 BHK 1085 Sq-ft Flat,1085 sqft
Whitefield,91.2 Lac,3 BHK 1565 Sq-ft Flat,1400 sqft
Uttarahalli,1.0 Cr,3 BHK 163 Sq-m Flat,163 sqm
Sarjapur Road,2.11 Cr,3 BHK Villa,3275 sqft
Sarjapur-Attibele Road,1.25 Cr,3 BHK Villa,2292 sqft
Chikkabalapur,21.0 Lac,Residential Plot,2400 sqft
Thanisandra,1.02 Cr,3 BHK 1661 Sq-ft Flat,1102 sqft
Gottigere,62.8 Lac,3 BHK 1495 Sq-ft Flat,1495 sqft
Devanahalli,1.42 Cr,Residential Plot,4750 sqft
JP Nagar 9th Phase,3.43 Cr,4 BHK Villa,3611 sqft
Jigani,23.2 Lac,Residential Plot,1452 sqft
Sarjapur Road,71.5 Lac,2 BHK 1291 Sq-ft Flat,1291 sqft
Sarjapur,27.1 Lac,Residential Plot,1750 sqft
Kadugodi,54.6 Lac,2 BHK 1136 Sq-ft Flat,1136 sqft
Whitefield,65.9 Lac,2 BHK 1050 Sq-ft Flat,1050 sqft
Yelahanka,93.0 Lac,3 BHK 1829 Sq-ft Flat,1280 sqft
Doddaballapur,90.0 Lac,3 BHK Villa,1800 sqft
Sarjapur Road,67.9 Lac,2 BHK 1180 Sq-ft Flat,1180 sqft
Chikbanavara,34.0 Lac,2 BHK 974 Sq-ft Flat,974 sqft
Thanisandra Main Road,74.0 Lac,2 BHK 1125 Sq-ft Flat,1125 sqft
Old Madras Road,1.02 Cr,3 BHK 1779 Sq-ft Flat,1779 sqft
Whitefield,1.44 Cr,4 BHK 2262 Sq-ft Flat,2262 sqft
Thanisandra Main Road,80.0 Lac,3 BHK 1601 Sq-ft Flat,1601 sqft
Devanahalli,45.0 Lac,2 BHK 885 Sq-ft Flat,593 sqft
Hoodi Circle,1.02 Cr,3 BHK 1640 Sq-ft Flat,1640 sqft
Banashankari,2.35 Cr,3 BHK 2440 Sq-ft Flat,2440 sqft
Sarjapur Road,23.9 Lac,2 BHK 685 Sq-ft Flat,685 sqft
Electronic City,39.3 Lac,3 BHK 841 Sq-ft Flat,841 sqft
Sarjapur Road,1.22 Cr,3 BHK 1929 Sq-ft Flat,1929 sqft
RT Nagar,2.51 Cr,3 BHK 2150 Sq-ft Flat,2150 sqft
Whitefield,56.5 Lac,2 BHK 1085 Sq-ft Flat,1085 sqft
Whitefield,91.2 Lac,3 BHK 1565 Sq-ft Flat,1400 sqft
Uttarahalli,1.0 Cr,3 BHK 163 Sq-m Flat,163 sqm
Sarjapur Road,2.11 Cr,3 BHK Villa,3275 sqft
Sarjapur-Attibele Road,1.25 Cr,3 BHK Villa,2292 sqft
Chikkabalapur,21.0 Lac,Residential Plot,2400 sqft
Thanisandra,1.02 Cr,3 BHK 1661 Sq-ft Flat,1102 sqft
Gottigere,62.8 Lac,3 BHK 1495 Sq-ft Flat,1495 sqft
Devanahalli,1.42 Cr,Residential Plot,4750 sqft
JP Nagar 9th Phase,3.43 Cr,4 BHK Villa,3611 sqft
Jigani,23.2 Lac,Residential Plot,1452 sqft
Sarjapur Road,71.5 Lac,2 BHK 1291 Sq-ft Flat,1291 sqft
Sarjapur,27.1 Lac,Residential Plot,1750 sqft
Kadugodi,54.6 Lac,2 BHK 1136 Sq-ft Flat,1136 sqft
Whitefield,65.9 Lac,2 BHK 1050 Sq-ft Flat,1050 sqft
Yelahanka,93.0 Lac,3 BHK 1829 Sq-ft Flat,1280 sqft
Doddaballapur,90.0 Lac,3 BHK Villa,1800 sqft
Sarjapur Road,67.9 Lac,2 BHK 1180 Sq-ft Flat,1180 sqft
Chikbanavara,34.0 Lac,2 BHK 974 Sq-ft Flat,974 sqft
Thanisandra Main Road,74.0 Lac,2 BHK 1125 Sq-ft Flat,1125 sqft
Old Madras Road,1.02 Cr,3 BHK 1779 Sq-ft Flat,1779 sqft
Whitefield,1.44 Cr,4 BHK 2262 Sq-ft Flat,2262 sqft
Thanisandra Main Road,80.0 Lac,3 BHK 1601 Sq-ft Flat,1601 sqft
Devanahalli,45.0 Lac,2 BHK 885 Sq-ft Flat,593 sqft
Hoodi Circle,1.02 Cr,3 BHK 1640 Sq-ft Flat,1640 sqft
Banashankari,2.35 Cr,3 BHK 2440 Sq-ft Flat,2440 sqft
Sarjapur Road,23.9 Lac,2 BHK 685 Sq-ft Flat,685 sqft
Electronic City,39.3 Lac,3 BHK 841 Sq-ft Flat,841 sqft
Sarjapur Road,1.22 Cr,3 BHK 1929 Sq-ft Flat,1929 sqft
RT Nagar,2.51 Cr,3 BHK 2150 Sq-ft Flat,2150 sqft
Whitefield,56.5 Lac,2 BHK 1085 Sq-ft Flat,1085 sqft
Whitefield,91.2 Lac,3 BHK 1565 Sq-ft Flat,1400 sqft
Uttarahalli,1.0 Cr,3 BHK 163 Sq-m Flat,163 sqm
Sarjapur Road,2.11 Cr,3 BHK Villa,3275 sqft
Sarjapur-Attibele Road,1.25 Cr,3 BHK Villa,2292 sqft
Chikkabalapur,21.0 Lac,Residential Plot,2400 sqft
Thanisandra,1.02 Cr,3 BHK 1661 Sq-ft Flat,1102 sqft
Gottigere,62.8 Lac,3 BHK 1495 Sq-ft Flat,1495 sqft
Devanahalli,1.42 Cr,Residential Plot,4750 sqft
JP Nagar 9th Phase,3.43 Cr,4 BHK Villa,3611 sqft
Jigani,23.2 Lac,Residential Plot,1452 sqft
Sarjapur Road,71.5 Lac,2 BHK 1291 Sq-ft Flat,1291 sqft
Sarjapur,27.1 Lac,Residential Plot,1750 sqft
Kadugodi,54.6 Lac,2 BHK 1136 Sq-ft Flat,1136 sqft
Whitefield,65.9 Lac,2 BHK 1050 Sq-ft Flat,1050 sqft
Yelahanka,93.0 Lac,3 BHK 1829 Sq-ft Flat,1280 sqft
Doddaballapur,90.0 Lac,3 BHK Villa,1800 sqft
Sarjapur Road,67.9 Lac,2 BHK 1180 Sq-ft Flat,1180 sqft
Chikbanavara,34.0 Lac,2 BHK 974 Sq-ft Flat,974 sqft
Thanisandra Main Road,74.0 Lac,2 BHK 1125 Sq-ft Flat,1125 sqft
Old Madras Road,1.02 Cr,3 BHK 1779 Sq-ft Flat,1779 sqft
Whitefield,1.44 Cr,4 BHK 2262 Sq-ft Flat,2262 sqft
Thanisandra Main Road,80.0 Lac,3 BHK 1601 Sq-ft Flat,1601 sqft
Devanahalli,45.0 Lac,2 BHK 885 Sq-ft Flat,593 sqft
Hoodi Circle,1.02 Cr,3 BHK 1640 Sq-ft Flat,1640 sqft
Banashankari,2.35 Cr,3 BHK 2440 Sq-ft Flat,2440 sqft
Sarjapur Road,23.9 Lac,2 BHK 685 Sq-ft Flat,685 sqft
Electronic City,39.3 Lac,3 BHK 841 Sq-ft Flat,841 sqft
Sarjapur Road,1.22 Cr,3 BHK 1929 Sq-ft Flat,1929 sqft
RT Nagar,2.51 Cr,3 BHK 2150 Sq-ft Flat,2150 sqft
Whitefield,56.5 Lac,2 BHK 1085 Sq-ft Flat,1085 sqft
Whitefield,91.2 Lac,3 BHK 1565 Sq-ft Flat,1400 sqft
Uttarahalli,1.0 Cr,3 BHK 163 Sq-m Flat,163 sqm
Sarjapur Road,2.11 Cr,3 BHK Villa,3275 sqft
Sarjapur-Attibele Road,1.25 Cr,3 BHK Villa,2292 sqft
Chikkabalapur,21.0 Lac,Residential Plot,2400 sqft
Thanisandra,1.02 Cr,3 BHK 1661 Sq-ft Flat,1102 sqft
Gottigere,62.8 Lac,3 BHK 1495 Sq-ft Flat,1495 sqft
Devanahalli,1.42 Cr,Residential Plot,4750 sqft
JP Nagar 9th Phase,3.43 Cr,4 BHK Villa,3611 sqft
Jigani,23.2 Lac,Residential Plot,1452 sqft
Sarjapur Road,71.5 Lac,2 BHK 1291 Sq-ft Flat,1291 sqft
Sarjapur,27.1 Lac,Residential Plot,1750 sqft
Kadugodi,54.6 Lac,2 BHK 1136 Sq-ft Flat,1136 sqft
Whitefield,65.9 Lac,2 BHK 1050 Sq-ft Flat,1050 sqft
Yelahanka,93.0 Lac,3 BHK 1829 Sq-ft Flat,1280 sqft
Doddaballapur,90.0 Lac,3 BHK Villa,1800 sqft
Sarjapur Road,67.9 Lac,2 BHK 1180 Sq-ft Flat,1180 sqft
Chikbanavara,34.0 Lac,2 BHK 974 Sq-ft Flat,974 sqft
Thanisandra Main Road,74.0 Lac,2 BHK 1125 Sq-ft Flat,1125 sqft
Old Madras Road,1.02 Cr,3 BHK 1779 Sq-ft Flat,1779 sqft
Whitefield,1.44 Cr,4 BHK 2262 Sq-ft Flat,2262 sqft
Thanisandra Main Road,80.0 Lac,3 BHK 1601 Sq-ft Flat,1601 sqft
Devanahalli,45.0 Lac,2 BHK 885 Sq-ft Flat,593 sqft
Hoodi Circle,1.02 Cr,3 BHK 1640 Sq-ft Flat,1640 sqft
Banashankari,2.35 Cr,3 BHK 2440 Sq-ft Flat,2440 sqft
Sarjapur Road,23.9 Lac,2 BHK 685 Sq-ft Flat,685 sqft
Electronic City,39.3 Lac,3 BHK 841 Sq-ft Flat,841 sqft
Sarjapur Road,1.22 Cr,3 BHK 1929 Sq-ft Flat,1929 sqft
RT Nagar,2.51 Cr,3 BHK 2150 Sq-ft Flat,2150 sqft
Whitefield,56.5 Lac,2 BHK 1085 Sq-ft Flat,1085 sqft
Whitefield,91.2 Lac,3 BHK 1565 Sq-ft Flat,1400 sqft
Uttarahalli,1.0 Cr,3 BHK 163 Sq-m Flat,163 sqm
Sarjapur Road,2.11 Cr,3 BHK Villa,3275 sqft
Sarjapur-Attibele Road,1.25 Cr,3 BHK Villa,2292 sqft
Chikkabalapur,21.0 Lac,Residential Plot,2400 sqft
Thanisandra,1.02 Cr,3 BHK 1661 Sq-ft Flat,1102 sqft
Gottigere,62.8 Lac,3 BHK 1495 Sq-ft Flat,1495 sqft
Devanahalli,1.42 Cr,Residential Plot,4750 sqft
JP Nagar 9th Phase,3.43 Cr,4 BHK Villa,3611 sqft
Jigani,23.2 Lac,Residential Plot,1452 sqft
Sarjapur Road,71.5 Lac,2 BHK 1291 Sq-ft Flat,1291 sqft
Sarjapur,27.1 Lac,Residential Plot,1750 sqft
Kadugodi,54.6 Lac,2 BHK 1136 Sq-ft Flat,1136 sqft
Whitefield,65.9 Lac,2 BHK 1050 Sq-ft Flat,1050 sqft
Yelahanka,93.0 Lac,3 BHK 1829 Sq-ft Flat,1280 sqft
Doddaballapur,90.0 Lac,3 BHK Villa,1800 sqft
Sarjapur Road,67.9 Lac,2 BHK 1180 Sq-ft Flat,1180 sqft
Chikbanavara,34.0 Lac,2 BHK 974 Sq-ft Flat,974 sqft
Thanisandra Main Road,74.0 Lac,2 BHK 1125 Sq-ft Flat,1125 sqft
Old Madras Road,1.02 Cr,3 BHK 1779 Sq-ft Flat,1779 sqft
Whitefield,1.44 Cr,4 BHK 2262 Sq-ft Flat,2262 sqft
Thanisandra Main Road,80.0 Lac,3 BHK 1601 Sq-ft Flat,1601 sqft
Devanahalli,45.0 Lac,2 BHK 885 Sq-ft Flat,593 sqft
Hoodi Circle,1.02 Cr,3 BHK 1640 Sq-ft Flat,1640 sqft
Banashankari,2.35 Cr,3 BHK 2440 Sq-ft Flat,2440 sqft
Sarjapur Road,23.9 Lac,2 BHK 685 Sq-ft Flat,685 sqft
Electronic City,39.3 Lac,3 BHK 841 Sq-ft Flat,841 sqft
Sarjapur Road,1.22 Cr,3 BHK 1929 Sq-ft Flat,1929 sqft
RT Nagar,2.51 Cr,3 BHK 2150 Sq-ft Flat,2150 sqft
Whitefield,56.5 Lac,2 BHK 1085 Sq-ft Flat,1085 sqft
Whitefield,91.2 Lac,3 BHK 1565 Sq-ft Flat,1400 sqft
Uttarahalli,1.0 Cr,3 BHK 163 Sq-m Flat,163 sqm
Sarjapur Road,2.11 Cr,3 BHK Villa,3275 sqft
Sarjapur-Attibele Road,1.25 Cr,3 BHK Villa,2292 sqft
Chikkabalapur,21.0 Lac,Residential Plot,2400 sqft
Thanisandra,1.02 Cr,3 BHK 1661 Sq-ft Flat,1102 sqft
Gottigere,62.8 Lac,3 BHK 1495 Sq-ft Flat,1495 sqft
Devanahalli,1.42 Cr,Residential Plot,4750 sqft
JP Nagar 9th Phase,3.43 Cr,4 BHK Villa,3611 sqft
Jigani,23.2 Lac,Residential Plot,1452 sqft
Sarjapur Road,71.5 Lac,2 BHK 1291 Sq-ft Flat,1291 sqft
Sarjapur,27.1 Lac,Residential Plot,1750 sqft
Kadugodi,54.6 Lac,2 BHK 1136 Sq-ft Flat,1136 sqft
Whitefield,65.9 Lac,2 BHK 1050 Sq-ft Flat,1050 sqft
Yelahanka,93.0 Lac,3 BHK 1829 Sq-ft Flat,1280 sqft
Doddaballapur,90.0 Lac,3 BHK Villa,1800 sqft
Sarjapur Road,67.9 Lac,2 BHK 1180 Sq-ft Flat,1180 sqft
Chikbanavara,34.0 Lac,2 BHK 974 Sq-ft Flat,974 sqft
Thanisandra Main Road,74.0 Lac,2 BHK 1125 Sq-ft Flat,1125 sqft
Old Madras Road,1.02 Cr,3 BHK 1779 Sq-ft Flat,1779 sqft
Whitefield,1.44 Cr,4 BHK 2262 Sq-ft Flat,2262 sqft
Thanisandra Main Road,80.0 Lac,3 BHK 1601 Sq-ft Flat,1601 sqft
Devanahalli,45.0 Lac,2 BHK 885 Sq-ft Flat,593 sqft
Hoodi Circle,1.02 Cr,3 BHK 1640 Sq-ft Flat,1640 sqft
Banashankari,2.35 Cr,3 BHK 2440 Sq-ft Flat,2440 sqft
Sarjapur Road,23.9 Lac,2 BHK 685 Sq-ft Flat,685 sqft
Electronic City,39.3 Lac,3 BHK 841 Sq-ft Flat,841 sqft
Sarjapur Road,1.22 Cr,3 BHK 1929 Sq-ft Flat,1929 sqft
RT Nagar,2.51 Cr,3 BHK 2150 Sq-ft Flat,2150 sqft
Whitefield,56.5 Lac,2 BHK 1085 Sq-ft Flat,1085 sqft
Whitefield,91.2 Lac,3 BHK 1565 Sq-ft Flat,1400 sqft
Uttarahalli,1.0 Cr,3 BHK 163 Sq-m Flat,163 sqm
Sarjapur Road,2.11 Cr,3 BHK Villa,3275 sqft
Sarjapur-Attibele Road,1.25 Cr,3 BHK Villa,2292 sqft
Chikkabalapur,21.0 Lac,Residential Plot,2400 sqft
Thanisandra,1.02 Cr,3 BHK 1661 Sq-ft Flat,1102 sqft
Gottigere,62.8 Lac,3 BHK 1495 Sq-ft Flat,1495 sqft
Devanahalli,1.42 Cr,Residential Plot,4750 sqft
JP Nagar 9th Phase,3.43 Cr,4 BHK Villa,3611 sqft
Jigani,23.2 Lac,Residential Plot,1452 sqft
Sarjapur Road,71.5 Lac,2 BHK 1291 Sq-ft Flat,1291 sqft
Sarjapur,27.1 Lac,Residential Plot,1750 sqft
Kadugodi,54.6 Lac,2 BHK 1136 Sq-ft Flat,1136 sqft
Whitefield,65.9 Lac,2 BHK 1050 Sq-ft Flat,1050 sqft
Yelahanka,93.0 Lac,3 BHK 1829 Sq-ft Flat,1280 sqft
Doddaballapur,90.0 Lac,3 BHK Villa,1800 sqft
Sarjapur Road,67.9 Lac,2 BHK 1180 Sq-ft Flat,1180 sqft
Chikbanavara,34.0 Lac,2 BHK 974 Sq-ft Flat,974 sqft
Thanisandra Main Road,74.0 Lac,2 BHK 1125 Sq-ft Flat,1125 sqft
Old Madras Road,1.02 Cr,3 BHK 1779 Sq-ft Flat,1779 sqft
Whitefield,1.44 Cr,4 BHK 2262 Sq-ft Flat,2262 sqft
Thanisandra Main Road,80.0 Lac,3 BHK 1601 Sq-ft Flat,1601 sqft
Devanahalli,45.0 Lac,2 BHK 885 Sq-ft Flat,593 sqft
Hoodi Circle,1.02 Cr,3 BHK 1640 Sq-ft Flat,1640 sqft
Banashankari,2.35 Cr,3 BHK 2440 Sq-ft Flat,2440 sqft
Sarjapur Road,23.9 Lac,2 BHK 685 Sq-ft Flat,685 sqft
Electronic City,39.3 Lac,3 BHK 841 Sq-ft Flat,841 sqft
Sarjapur Road,1.22 Cr,3 BHK 1929 Sq-ft Flat,1929 sqft
RT Nagar,2.51 Cr,3 BHK 2150 Sq-ft Flat,2150 sqft
Whitefield,56.5 Lac,2 BHK 1085 Sq-ft Flat,1085 sqft
Whitefield,91.2 Lac,3 BHK 1565 Sq-ft Flat,1400 sqft
Uttarahalli,1.0 Cr,3 BHK 163 Sq-m Flat,163 sqm
